"Landmark_0: (0.5641, 0.8254, 0.0000)","Landmark_1: (0.6375, 0.7810, -0.0215)","Landmark_2: (0.6902, 0.6999, -0.0383)","Landmark_3: (0.7281, 0.6173, -0.0538)","Landmark_4: (0.7612, 0.5574, -0.0678)","Landmark_5: (0.6508, 0.5713, -0.0290)","Landmark_6: (0.6785, 0.4443, -0.0536)","Landmark_7: (0.6994, 0.4315, -0.0702)","Landmark_8: (0.7074, 0.4518, -0.0775)","Landmark_9: (0.5993, 0.5604, -0.0277)","Landmark_10: (0.6271, 0.4364, -0.0467)","Landmark_11: (0.6487, 0.4474, -0.0581)","Landmark_12: (0.6520, 0.4867, -0.0638)","Landmark_13: (0.5514, 0.5665, -0.0282)","Landmark_14: (0.5756, 0.4519, -0.0418)","Landmark_15: (0.5991, 0.4659, -0.0411)","Landmark_16: (0.6044, 0.5048, -0.0391)","Landmark_17: (0.5096, 0.5816, -0.0300)","Landmark_18: (0.5269, 0.4847, -0.0379)","Landmark_19: (0.5492, 0.4940, -0.0310)","Landmark_20: (0.5565, 0.5293, -0.0235)"
"Landmark_0: (0.5852, 0.8116, 0.0000)","Landmark_1: (0.6504, 0.7748, -0.0267)","Landmark_2: (0.7043, 0.7012, -0.0364)","Landmark_3: (0.7489, 0.6442, -0.0464)","Landmark_4: (0.7921, 0.6127, -0.0572)","Landmark_5: (0.6619, 0.5564, -0.0146)","Landmark_6: (0.6790, 0.4511, -0.0319)","Landmark_7: (0.6857, 0.3938, -0.0491)","Landmark_8: (0.6897, 0.3449, -0.0627)","Landmark_9: (0.6138, 0.5421, -0.0186)","Landmark_10: (0.6167, 0.4251, -0.0344)","Landmark_11: (0.6139, 0.3582, -0.0545)","Landmark_12: (0.6076, 0.3039, -0.0703)","Landmark_13: (0.5671, 0.5548, -0.0267)","Landmark_14: (0.5512, 0.4495, -0.0468)","Landmark_15: (0.5381, 0.3846, -0.0650)","Landmark_16: (0.5263, 0.3334, -0.0773)","Landmark_17: (0.5228, 0.5883, -0.0374)","Landmark_18: (0.4926, 0.5099, -0.0573)","Landmark_19: (0.4725, 0.4586, -0.0684)","Landmark_20: (0.4585, 0.4137, -0.0752)"
"Landmark_0: (0.5816, 0.8112, 0.0000)","Landmark_1: (0.6534, 0.7836, -0.0293)","Landmark_2: (0.7105, 0.7057, -0.0423)","Landmark_3: (0.7497, 0.6458, -0.0551)","Landmark_4: (0.7939, 0.6187, -0.0685)","Landmark_5: (0.6613, 0.5491, -0.0216)","Landmark_6: (0.6751, 0.4500, -0.0422)","Landmark_7: (0.6832, 0.3917, -0.0600)","Landmark_8: (0.6893, 0.3422, -0.0739)","Landmark_9: (0.6118, 0.5319, -0.0242)","Landmark_10: (0.6143, 0.4224, -0.0427)","Landmark_11: (0.6138, 0.3574, -0.0595)","Landmark_12: (0.6096, 0.3069, -0.0719)","Landmark_13: (0.5640, 0.5403, -0.0316)","Landmark_14: (0.5486, 0.4339, -0.0540)","Landmark_15: (0.5339, 0.3731, -0.0721)","Landmark_16: (0.5193, 0.3250, -0.0836)","Landmark_17: (0.5188, 0.5712, -0.0416)","Landmark_18: (0.4853, 0.4885, -0.0652)","Landmark_19: (0.4605, 0.4415, -0.0788)","Landmark_20: (0.4391, 0.3982, -0.0867)"
"Landmark_0: (0.5747, 0.8160, 0.0000)","Landmark_1: (0.6507, 0.7828, -0.0188)","Landmark_2: (0.7042, 0.7076, -0.0306)","Landmark_3: (0.7471, 0.6442, -0.0421)","Landmark_4: (0.7931, 0.6184, -0.0546)","Landmark_5: (0.6561, 0.5594, -0.0251)","Landmark_6: (0.6646, 0.4483, -0.0395)","Landmark_7: (0.6664, 0.3828, -0.0509)","Landmark_8: (0.6661, 0.3293, -0.0610)","Landmark_9: (0.6047, 0.5415, -0.0291)","Landmark_10: (0.6014, 0.4223, -0.0420)","Landmark_11: (0.5939, 0.3498, -0.0539)","Landmark_12: (0.5830, 0.2954, -0.0638)","Landmark_13: (0.5545, 0.5494, -0.0348)","Landmark_14: (0.5355, 0.4352, -0.0513)","Landmark_15: (0.5166, 0.3700, -0.0674)","Landmark_16: (0.4978, 0.3208, -0.0790)","Landmark_17: (0.5085, 0.5789, -0.0415)","Landmark_18: (0.4686, 0.5007, -0.0612)","Landmark_19: (0.4396, 0.4543, -0.0743)","Landmark_20: (0.4157, 0.4140, -0.0821)"
"Landmark_0: (0.5740, 0.8158, 0.0000)","Landmark_1: (0.6472, 0.7784, -0.0227)","Landmark_2: (0.7037, 0.7003, -0.0363)","Landmark_3: (0.7485, 0.6423, -0.0486)","Landmark_4: (0.7945, 0.6141, -0.0621)","Landmark_5: (0.6505, 0.5584, -0.0332)","Landmark_6: (0.6609, 0.4465, -0.0504)","Landmark_7: (0.6658, 0.3807, -0.0635)","Landmark_8: (0.6681, 0.3265, -0.0741)","Landmark_9: (0.5983, 0.5408, -0.0351)","Landmark_10: (0.5987, 0.4222, -0.0491)","Landmark_11: (0.5934, 0.3504, -0.0611)","Landmark_12: (0.5833, 0.2987, -0.0713)","Landmark_13: (0.5481, 0.5496, -0.0389)","Landmark_14: (0.5323, 0.4362, -0.0555)","Landmark_15: (0.5142, 0.3712, -0.0713)","Landmark_16: (0.4953, 0.3237, -0.0829)","Landmark_17: (0.5019, 0.5798, -0.0440)","Landmark_18: (0.4666, 0.4971, -0.0630)","Landmark_19: (0.4399, 0.4491, -0.0752)","Landmark_20: (0.4174, 0.4093, -0.0827)"
"Landmark_0: (0.5797, 0.8250, 0.0000)","Landmark_1: (0.6530, 0.7895, -0.0269)","Landmark_2: (0.7087, 0.7122, -0.0417)","Landmark_3: (0.7493, 0.6504, -0.0557)","Landmark_4: (0.7951, 0.6211, -0.0707)","Landmark_5: (0.6537, 0.5613, -0.0275)","Landmark_6: (0.6656, 0.4527, -0.0470)","Landmark_7: (0.6720, 0.3876, -0.0630)","Landmark_8: (0.6761, 0.3340, -0.0755)","Landmark_9: (0.6027, 0.5467, -0.0293)","Landmark_10: (0.6024, 0.4306, -0.0471)","Landmark_11: (0.5974, 0.3587, -0.0634)","Landmark_12: (0.5883, 0.3054, -0.0758)","Landmark_13: (0.5540, 0.5564, -0.0342)","Landmark_14: (0.5395, 0.4447, -0.0541)","Landmark_15: (0.5247, 0.3794, -0.0714)","Landmark_16: (0.5089, 0.3314, -0.0830)","Landmark_17: (0.5080, 0.5856, -0.0412)","Landmark_18: (0.4783, 0.5001, -0.0617)","Landmark_19: (0.4569, 0.4486, -0.0743)","Landmark_20: (0.4387, 0.4054, -0.0819)"
"Landmark_0: (0.5789, 0.8274, 0.0000)","Landmark_1: (0.6495, 0.7951, -0.0297)","Landmark_2: (0.7054, 0.7175, -0.0449)","Landmark_3: (0.7490, 0.6572, -0.0590)","Landmark_4: (0.7959, 0.6289, -0.0740)","Landmark_5: (0.6572, 0.5676, -0.0270)","Landmark_6: (0.6714, 0.4602, -0.0481)","Landmark_7: (0.6773, 0.3948, -0.0656)","Landmark_8: (0.6803, 0.3420, -0.0791)","Landmark_9: (0.6084, 0.5497, -0.0285)","Landmark_10: (0.6124, 0.4343, -0.0484)","Landmark_11: (0.6115, 0.3631, -0.0668)","Landmark_12: (0.6054, 0.3117, -0.0803)","Landmark_13: (0.5606, 0.5552, -0.0339)","Landmark_14: (0.5513, 0.4397, -0.0571)","Landmark_15: (0.5415, 0.3760, -0.0771)","Landmark_16: (0.5291, 0.3314, -0.0898)","Landmark_17: (0.5140, 0.5803, -0.0416)","Landmark_18: (0.4855, 0.4873, -0.0651)","Landmark_19: (0.4666, 0.4353, -0.0796)","Landmark_20: (0.4504, 0.3938, -0.0883)"
"Landmark_0: (0.5712, 0.8206, 0.0000)","Landmark_1: (0.6451, 0.7874, -0.0246)","Landmark_2: (0.7052, 0.7133, -0.0382)","Landmark_3: (0.7490, 0.6576, -0.0520)","Landmark_4: (0.7938, 0.6273, -0.0666)","Landmark_5: (0.6557, 0.5644, -0.0212)","Landmark_6: (0.6725, 0.4575, -0.0411)","Landmark_7: (0.6815, 0.3932, -0.0575)","Landmark_8: (0.6872, 0.3415, -0.0697)","Landmark_9: (0.6062, 0.5453, -0.0250)","Landmark_10: (0.6119, 0.4284, -0.0430)","Landmark_11: (0.6122, 0.3572, -0.0600)","Landmark_12: (0.6073, 0.3081, -0.0723)","Landmark_13: (0.5574, 0.5492, -0.0324)","Landmark_14: (0.5473, 0.4347, -0.0529)","Landmark_15: (0.5396, 0.3719, -0.0703)","Landmark_16: (0.5302, 0.3290, -0.0811)","Landmark_17: (0.5094, 0.5727, -0.0417)","Landmark_18: (0.4851, 0.4815, -0.0621)","Landmark_19: (0.4694, 0.4290, -0.0738)","Landmark_20: (0.4564, 0.3871, -0.0803)"
"Landmark_0: (0.5706, 0.8216, 0.0000)","Landmark_1: (0.6451, 0.7891, -0.0310)","Landmark_2: (0.7046, 0.7090, -0.0442)","Landmark_3: (0.7488, 0.6513, -0.0567)","Landmark_4: (0.7944, 0.6248, -0.0701)","Landmark_5: (0.6534, 0.5640, -0.0259)","Landmark_6: (0.6688, 0.4611, -0.0476)","Landmark_7: (0.6785, 0.3979, -0.0662)","Landmark_8: (0.6860, 0.3439, -0.0808)","Landmark_9: (0.6045, 0.5448, -0.0277)","Landmark_10: (0.6086, 0.4341, -0.0482)","Landmark_11: (0.6084, 0.3649, -0.0673)","Landmark_12: (0.6034, 0.3126, -0.0816)","Landmark_13: (0.5570, 0.5500, -0.0339)","Landmark_14: (0.5474, 0.4403, -0.0580)","Landmark_15: (0.5375, 0.3780, -0.0782)","Landmark_16: (0.5253, 0.3302, -0.0913)","Landmark_17: (0.5107, 0.5755, -0.0428)","Landmark_18: (0.4881, 0.4843, -0.0677)","Landmark_19: (0.4709, 0.4332, -0.0825)","Landmark_20: (0.4553, 0.3891, -0.0916)"
"Landmark_0: (0.5707, 0.8229, 0.0000)","Landmark_1: (0.6434, 0.7848, -0.0256)","Landmark_2: (0.7032, 0.7076, -0.0385)","Landmark_3: (0.7486, 0.6530, -0.0514)","Landmark_4: (0.7953, 0.6225, -0.0650)","Landmark_5: (0.6522, 0.5638, -0.0199)","Landmark_6: (0.6683, 0.4608, -0.0393)","Landmark_7: (0.6787, 0.3984, -0.0561)","Landmark_8: (0.6872, 0.3442, -0.0693)","Landmark_9: (0.6030, 0.5466, -0.0237)","Landmark_10: (0.6056, 0.4370, -0.0416)","Landmark_11: (0.6057, 0.3672, -0.0589)","Landmark_12: (0.6023, 0.3125, -0.0720)","Landmark_13: (0.5551, 0.5527, -0.0314)","Landmark_14: (0.5429, 0.4444, -0.0529)","Landmark_15: (0.5332, 0.3796, -0.0708)","Landmark_16: (0.5235, 0.3283, -0.0824)","Landmark_17: (0.5089, 0.5773, -0.0415)","Landmark_18: (0.4841, 0.4869, -0.0637)","Landmark_19: (0.4679, 0.4339, -0.0765)","Landmark_20: (0.4553, 0.3871, -0.0842)"
"Landmark_0: (0.5740, 0.8209, 0.0000)","Landmark_1: (0.6467, 0.7845, -0.0290)","Landmark_2: (0.7053, 0.7078, -0.0432)","Landmark_3: (0.7501, 0.6505, -0.0566)","Landmark_4: (0.7960, 0.6203, -0.0706)","Landmark_5: (0.6513, 0.5628, -0.0253)","Landmark_6: (0.6674, 0.4623, -0.0455)","Landmark_7: (0.6771, 0.4010, -0.0627)","Landmark_8: (0.6847, 0.3478, -0.0766)","Landmark_9: (0.6034, 0.5447, -0.0276)","Landmark_10: (0.6050, 0.4355, -0.0464)","Landmark_11: (0.6048, 0.3673, -0.0635)","Landmark_12: (0.6014, 0.3145, -0.0769)","Landmark_13: (0.5566, 0.5511, -0.0341)","Landmark_14: (0.5430, 0.4437, -0.0571)","Landmark_15: (0.5319, 0.3805, -0.0762)","Landmark_16: (0.5204, 0.3309, -0.0889)","Landmark_17: (0.5115, 0.5779, -0.0431)","Landmark_18: (0.4831, 0.4916, -0.0684)","Landmark_19: (0.4609, 0.4401, -0.0837)","Landmark_20: (0.4412, 0.3944, -0.0931)"
